,实心球,坐位,平时成绩 ,合计,转换百分后/0.6,50,跳远,仰卧,800,引体,1000,运动世界校园,合计,
1,15,19,10,44,73 ,4,3,,,6,8,,21,
2,22.5,15,10,47.5,79 ,4,4,7,9,,,,24,
3,25.5,15,10,50.5,84 ,4,4,7,8,,,,23,
4,20,13,10,43,72 ,5,2,,,0,1,,8,
5,11,16,10,37,62 ,4,3,,,1,7,,15,
6,18,15.5,10,43.5,73 ,3,3,,,6,6,,18,
7,30,17.5,10,57.5,96 ,4,4,,,0,1,,9,
8,30,20,10,60,100 ,4,4,,,1,6,,15,
9,18,16,10,44,73 ,3,2,,,0,6,,11,
10,27.5,16,10,53.5,89 ,,,,,,,,0,免测
11,20.5,18,10,48.5,81 ,4,3,,,0,3,,10,
12,18,17.5,10,45.5,76 ,4,3,,,1,7,,15,
13,19.5,15.5,10,45,75 ,4,4,8,8,,,,24,
14,19.5,18.5,10,48,80 ,3,4,7,8,,,,22,
15,18,14,10,42,70 ,3,3,,,0,7,,13,
16,19,15.5,10,44.5,74 ,3,2,,,0,7,,12,
17,18,13.5,10,41.5,69 ,3,3,,,0,7,,13,
18,30,18.5,10,58.5,98 ,5,5,,,9,10,,29,
19,17.5,15.5,10,43,72 ,4,4,,,7,7,,22,
20,21,13.5,10,44.5,74 ,4,3,,,1,7,,15,
21,30,16.5,10,56.5,94 ,3,3,,,0,6,,12,
22,27.5,18.5,10,56,93 ,3,3,7,8,,,,21,
23,25.5,12.5,10,48,80 ,5,4,,,7,10,,26,
24,25,16.5,10,51.5,86 ,3,4,7,8,,,,22,
25,23,19.5,10,52.5,88 ,4,4,7,8,,,,23,
26,19,18.5,10,47.5,79 ,3,4,,,4,7,,18,
27,21.5,17.5,10,49,82 ,3,4,6,8,,,,21,
28,23,18,10,51,85 ,4,4,6,8,,,,22,
29,20.5,15.5,10,46,77 ,4,4,,,6,5,,19,
30,17,20,10,47,78 ,3,3,7,7,,,,20,
31,22.5,16.5,10,49,82 ,3,3,6,8,,,,20,
32,24.5,18.5,10,53,88 ,3,4,9,7,,,,23,
33,25.5,18,10,53.5,89 ,4,5,,,1,8,,18,
34,25,18.5,10,53.5,89 ,3,5,7,6,,,,21,
35,19.5,20,10,49.5,83 ,4,3,3,6,,,,16,
